C,C++,C#,JAVA,VB
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
75,75,75,75,75
